"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"276","0","3038957","4.20","9.89","7.00","0.00","16.2.B"
"277","0","3038961","4.20","9.89","7.00","0.00","16.2.B"
"278","0","3038962","4.20","9.89","7.00","0.00","16.2.B"
"279","0","3038963","4.20","9.89","7.00","0.00","16.2.B"
"280","0","3038964","4.20","9.89","7.00","0.00","16.2.B"
"281","0","3038965","4.20","9.89","7.00","0.00","16.2.B"
"282","0","3038990","4.20","9.89","7.00","0.00","16.2.B"
"283","0","3039000","4.20","9.89","7.00","0.00","16.2.B"
"284","0","3043100","4.20","9.89","7.00","0.00","16.2.B"
"285","0","3043210","4.20","9.89","7.00","0.00","16.2.B"
"286","0","3043290","4.20","9.89","7.00","0.00","16.2.B"
"287","0","3043300","4.20","9.89","7.00","0.00","16.2.B"
"288","0","3043900","4.20","9.89","7.00","0.00","16.2.B"
"289","0","3044100","4.20","9.89","7.00","0.00","16.2.B"
"290","0","3044200","4.20","9.89","7.00","0.00","16.2.B"
"291","0","3044300","4.20","9.89","7.00","0.00","16.2.B"
"292","0","3044400","4.20","9.89","7.00","0.00","16.2.B"
"293","0","3044500","4.20","9.89","7.00","0.00","16.2.B"
"294","0","3044600","4.20","9.89","7.00","0.00","16.2.B"
"295","0","3044910","4.20","9.89","7.00","0.00","16.2.B"
"296","0","3044920","4.20","9.89","7.00","0.00","16.2.B"
"297","0","3044990","4.20","9.89","7.00","0.00","16.2.B"
"298","0","3045100","4.20","9.89","7.00","0.00","16.2.B"
"299","0","3045200","4.20","9.89","7.00","0.00","16.2.B"
"300","0","3045300","4.20","9.89","7.00","0.00","16.2.B"
"301","0","3045400","4.20","9.89","7.00","0.00","16.2.B"
"302","0","3045500","4.20","9.89","7.00","0.00","16.2.B"
"303","0","3045900","4.20","9.89","7.00","0.00","16.2.B"
"304","0","3046100","4.20","9.89","7.00","0.00","16.2.B"
"305","0","3046210","4.20","9.89","7.00","0.00","16.2.B"
"306","0","3046290","4.20","9.89","7.00","0.00","16.2.B"
"307","0","3046300","4.20","9.89","7.00","0.00","16.2.B"
"308","0","3046900","4.20","9.89","7.00","0.00","16.2.B"
"309","0","3047100","4.20","9.89","7.00","0.00","16.2.B"
"310","0","3047200","4.20","9.89","7.00","0.00","16.2.B"
"311","0","3047300","4.20","9.89","7.00","0.00","16.2.B"
"312","0","3047400","4.20","9.89","7.00","0.00","16.2.B"
"313","0","3047500","4.20","9.89","7.00","0.00","16.2.B"
"314","0","3047900","4.20","9.89","7.00","0.00","16.2.B"
"315","0","3048100","4.20","9.89","7.00","0.00","16.2.B"
"316","0","3048200","4.20","9.89","7.00","0.00","16.2.B"
"317","0","3048300","4.20","9.89","7.00","0.00","16.2.B"
"318","0","3048400","4.20","9.89","7.00","0.00","16.2.B"
"319","0","3048510","4.20","9.89","7.00","0.00","16.2.B"
"320","0","3048520","4.20","9.89","7.00","0.00","16.2.B"
"321","0","3048600","4.20","9.89","7.00","0.00","16.2.B"
"322","0","3048700","4.20","9.89","7.00","0.00","16.2.B"
